instance_name,decomposition_type,decomposition_epsilon,number_of_pulses
g002035,Original,0.0,1398964
g001737,Original,0.0,1291111
g001737,Binary,0.5,2146
g001737,Exponential,0.5,1870
g001737,Binary,0.2,3160
g001737,Exponential,0.2,2971
g001737,Binary,0.1,4102
g002035,Binary,0.5,58780
g002035,Exponential,0.5,77164
g002035,Binary,0.2,62770
g002035,Exponential,0.2,146383
g002035,Binary,0.1,65707
g002035,Exponential,0.1,233041
g002035,Binary,0.05,68653
g002035,Exponential,0.05,357127
g002035,Binary,0.02,72505
g002035,Exponential,0.02,577321
g002035,Binary,0.01,75442
g002035,Exponential,0.01,769042
g002035,Binary,0.005,78382
g002035,Exponential,0.005,955969
g001633,Original,0.0,1338355
g001633,Binary,0.5,29281
g001633,Exponential,0.5,74041
g001633,Binary,0.2,33058
g001633,Exponential,0.2,156469
g001633,Binary,0.1,35881
g001633,Exponential,0.1,265021
g001633,Binary,0.05,38707
g001633,Exponential,0.05,421147
g001633,Binary,0.02,42430
g001633,Exponential,0.02,685258
g001633,Binary,0.01,45265
g001633,Exponential,0.01,887686
g001633,Binary,0.005,48100
g001633,Exponential,0.005,1056025
g001737,Exponential,0.1,4297
g001737,Binary,0.05,5218
g001737,Exponential,0.05,5911
g001737,Binary,0.02,7012
g001737,Exponential,0.02,8800
g001737,Binary,0.01,8584
g001737,Exponential,0.01,11857
g001737,Binary,0.005,10273
g001737,Exponential,0.005,15427
g002119,Original,0.0,1127035
g002119,Binary,0.5,16987
g002119,Exponential,0.5,34492
g002119,Binary,0.2,20137
g002119,Exponential,0.2,68299
g002119,Binary,0.1,22630
g002119,Exponential,0.1,110800
g002119,Binary,0.05,25153
g002119,Exponential,0.05,172012
g002119,Binary,0.02,28540
g002119,Exponential,0.02,283057
g002119,Binary,0.01,31108
g002119,Exponential,0.01,385525
g002119,Binary,0.005,33682
g002119,Exponential,0.005,495019
g002964,Original,0.0,1199077
g002964,Binary,0.5,62212
g002964,Exponential,0.5,10969
g002964,Binary,0.2,68047
g002964,Exponential,0.2,22321
g002964,Binary,0.1,71008
g002964,Exponential,0.1,37858
g002964,Binary,0.05,73966
g002964,Exponential,0.05,64786
g002964,Binary,0.02,76954
g002964,Exponential,0.02,128248
g002964,Binary,0.01,79909
g002964,Exponential,0.01,206749
g002964,Binary,0.005,82867
g002964,Exponential,0.005,317269
g000243,Original,0.0,1139554
g000243,Binary,0.5,59287
g000243,Exponential,0.5,16759
g000243,Binary,0.2,64798
g000243,Exponential,0.2,32833
g000243,Binary,0.1,67621
g000243,Exponential,0.1,55753
g000243,Binary,0.05,70444
g000243,Exponential,0.05,92815
g000243,Binary,0.02,73378
g000243,Exponential,0.02,177364
g000243,Binary,0.01,76198
g000243,Exponential,0.01,274981
g000243,Binary,0.005,79021
g000243,Exponential,0.005,403363
g000562,Original,0.0,1119949
g000562,Binary,0.5,58483
g000562,Exponential,0.5,37993
g000562,Binary,0.2,63886
g000562,Exponential,0.2,75802
g000562,Binary,0.1,66670
g000562,Exponential,0.1,127906
g000562,Binary,0.05,69454
g000562,Exponential,0.05,204745
g000562,Binary,0.02,72427
g000562,Exponential,0.02,353956
g000562,Binary,0.01,75220
g000562,Exponential,0.01,496612
g000562,Binary,0.005,78001
g000562,Exponential,0.005,648898
g000561,Original,0.0,1001593
g000561,Binary,0.5,49753
g000561,Exponential,0.5,64120
g000561,Binary,0.2,53053
g000561,Exponential,0.2,120091
g000561,Binary,0.1,55597
g000561,Exponential,0.1,188776
g000561,Binary,0.05,58138
g000561,Exponential,0.05,285406
g000561,Binary,0.02,61504
g000561,Exponential,0.02,449410
g000561,Binary,0.01,64051
g000561,Exponential,0.01,588220
g000561,Binary,0.005,66595
g000561,Exponential,0.005,718903
g002983,Original,0.0,774364
g002983,Binary,0.5,42088
g002983,Exponential,0.5,19861
g002983,Binary,0.2,44620
g002983,Exponential,0.2,39685
g002983,Binary,0.1,46747
g002983,Exponential,0.1,67090
g002983,Binary,0.05,48871
g002983,Exponential,0.05,110683
g002983,Binary,0.02,51685
g002983,Exponential,0.02,200038
g002983,Binary,0.01,53812
g002983,Exponential,0.01,291775
g002983,Binary,0.005,55942
g002983,Exponential,0.005,397600
g001545,Original,0.0,764995
g001545,Binary,0.5,42598
g001545,Exponential,0.5,13258
g001545,Binary,0.2,45130
g001545,Exponential,0.2,26647
g001545,Binary,0.1,47260
g001545,Exponential,0.1,45916
g001545,Binary,0.05,49390
g001545,Exponential,0.05,77413
g001545,Binary,0.02,52852
g001545,Exponential,0.02,146770
g001545,Binary,0.01,54985
g001545,Exponential,0.01,223960
g001545,Binary,0.005,57115
g001545,Exponential,0.005,320758
